Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Algeria,DZA,3550.03267154172,3422.63861820934,3403.90345222401,3259.84367977166,3164.8985771543,3223.55756040321,3297.86337455833,3281.10213909542,3397.41019779189,3457.13704649758,3541.07203679729,3600.4372541096,3754.51627515001,3974.17503202227,4091.1442350798,4273.31275146765,4282.32823091748,4359.37574752245,4390.49963275957,4386.03889558891,4463.39467488951,4504.92009813206,4564.43501678967,4596.21962738807,4675.88502447667
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bahrain,BHR,17934.7430502843,19407.4436493518,20178.4651617478,22217.9133183868,21623.0156816472,21910.2398805927,22220.6829070812,22281.7951076819,22634.8884697697,22760.9869862741,22955.0934939164,22416.0818465599,22038.331198939,22058.7633255054,22144.4733857539,22066.0711292424,21796.0151385957,21838.0745654035,21563.650666009,20797.0052179038,20722.1038895508,20514.7563869279,20921.199710437,21799.6521659427,22390.6828514575
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Djibouti,DJI,1560.99938288393,1453.73099457756,1434.06827557213,1331.67011559108,1310.98270371835,1249.15124129247,1173.00539525705,1133.83373327637,1102.17798279338,1094.84729624055,1072.61558708337,1071.98234757153,1080.13690406471,1096.48923375223,1120.51906786623,1137.58286511449,1172.78890383682,1212.50930941138,1261.73997656592,1303.21678968842,1325.99072352076,1361.56855754851,1402.79944098849,1447.47222024533,1508.29165657932
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Egypt, Arab Rep.",EGY,1560.0833509149,1540.94381530651,1574.84393008298,1587.73137950583,1618.58478291278,1661.33176493045,1711.46506057622,1772.21044889868,1810.16933207493,1885.7431439716,1950.60698229459,1982.11163303315,1990.99216101758,2015.89799743556,2059.37751488092,2112.48796951889,2217.39483045864,2333.46731261569,2456.73142628729,2524.43244383914,2602.47954869567,2593.59690162311,2593.22646622202,2591.05945107009,2608.37519741866
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Iran, Islamic Rep.",IRN,4009.86960220554,4429.22648777863,4505.78912902061,4384.53464144797,4257.11018835114,4298.11771369,4496.2921123192,4475.07989634997,4483.08551636896,4491.19591125893,4676.87355124988,4719.91062706838,5034.67316758017,5403.70943383194,5572.90571695623,5684.95750073265,5901.64178877016,6311.78950016048,6256.87796760953,6247.69166011547,6531.9274296787,6622.67294071221,6052.51683261838,5964.17904606909,6161.1035226453
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Iraq,IRQ,4079.34447482414,1427.92117227041,1840.43872908828,2328.06451538962,2345.58667997097,2322.87384079478,2500.00608345664,2937.47385025707,3839.82745778959,4379.19932843339,4311.28130243519,4285.86362173814,3880.11162376508,2526.04313180653,3792.14245478578,3857.61038873535,4143.69170316574,4098.30662664446,4325.66798265067,4354.68362662857,4502.74904825726,4695.3572155629,5178.42229352013,5338.52198495104,5203.44225641078
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Israel,ISR,21141.296986775,21444.7549767519,22323.8353834212,22633.1757221552,23692.8516158828,24592.2481213905,25230.3103063434,25508.7537562777,25970.8337825567,26233.3055853633,27636.340773557,26999.3650619858,26503.8433509477,26229.3997666786,26947.4445017177,27570.9455662904,28499.3259272239,29614.0751514489,29962.0056141623,29658.522632153,30642.9406174863,31482.9971568511,31507.4785631219,32196.3581706206,32661.294134773
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Jordan,JOR,2440.39462527441,2357.23073814392,2645.81498264365,2622.15153760867,2623.57206159867,2678.07425911724,2650.80923437099,2672.81685166829,2699.40995245769,2743.02603014023,2810.03514836385,2906.6227529513,3020.08984638891,3082.05494543472,3262.19057717045,3417.7301367205,3557.30268573751,3687.23364490183,3773.18767474681,3786.53348077512,3679.19027463278,3578.76580869782,3481.6887418193,3401.07603697059,3348.82685055198
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Kuwait,KWT,..,..,..,..,..,41473.3284370398,41185.0399212941,40147.4206231383,38874.5098297967,35824.1351032368,35792.7097863038,35051.8022559136,35522.7273695884,41189.4631833748,44820.2000238126,47847.8235910685,49268.2631186018,49588.7642751449,47965.0088277919,41936.8167711931,38497.6169579293,39652.1711776107,39733.2891914042,37924.4724387343,36259.3919430869
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Lebanon,LBN,4230.91224414035,5742.11086597224,5852.92774145123,6091.98162678945,6416.32652455242,6703.23022563793,6961.33174391701,6754.39114268882,6949.23388621219,6824.18315800386,6747.63317967161,6749.15226467587,6656.74170105283,6539.65727036371,6636.30314976965,6606.29200014322,6592.54407984392,7157.55078134418,7859.94420316084,8501.10851566555,8858.28397743868,8450.10746664779,8107.4441734323,7753.87964552098,7447.36434395053
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Libya,LBY,..,..,..,..,..,..,..,..,..,8782.82624669327,8967.24745280595,8671.83645416692,8453.58471619258,9403.45364734457,9670.08454821137,10653.7843994307,11175.1298703495,11707.9853966875,11856.0205416973,11631.7190077153,12120.5621692062,4578.5318147555,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Malta,MLT,12026.4033042837,12439.0323766971,12888.8838287686,13332.575437453,13954.885988878,14736.8776237922,15193.4620113725,15871.6084604188,16577.0327879946,17256.851592428,18306.665059282,18280.2135257269,18685.6556885791,19035.3611499787,18991.7828034799,19585.1242660293,19870.7522043411,20590.9521864608,21142.0208113957,20466.5636022539,21087.7946931036,21296.2576460851,21685.290378225,22471.6429310683,24080.231104304
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Morocco,MAR,1720.78048670646,1811.40161765356,1741.92088835927,1699.40366249622,1848.78323736102,1722.19330628966,1907.78644656958,1853.01285455932,1962.03423982711,1958.95378604297,1972.3002866719,2091.23451593821,2130.73391780987,2230.90475266458,2310.33844900451,2358.44357888445,2507.67465818724,2566.21670054174,2686.22829742839,2765.85615386279,2834.20471989688,2942.03881663557,2987.31591963857,3077.31500512412,3113.79941456075
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Oman,OMN,14903.1587676903,15127.1346951134,15659.7802145527,15894.1703922192,15923.713350174,16295.7347960108,16548.9730507851,17445.2272742139,17889.4747080799,17843.0357887836,18698.3997470458,19308.4206132352,18772.8003735174,17881.3147645156,17671.5750521154,17631.9396938635,18063.2519297007,18302.3193271216,19112.1970550978,19408.6340238052,19280.7473537557,17914.0282093055,18300.3290085588,17830.345853032,17132.0888064421
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,60858.1912230348,60707.1198813964,62167.557648297,60460.4202003675,65405.7177707633,61688.8119300477,66623.136105089,66761.6227443087,67262.4517149952,65769.0071794388,70306.2278449301,72670.9586637702,70396.8161178956,68899.4853105472,67901.2188129755
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Saudi Arabia,SAU,18002.7387272615,20040.4957041795,20226.8542212626,19413.7829327585,19041.0583983076,18648.8568670781,18744.7805145329,18588.3043453831,18763.5859281919,17690.917568779,18263.2300818186,17585.390454968,16619.4346590337,17954.9497936841,18822.7300411973,19309.3120670672,19304.5502317946,19136.1592335417,19792.7203836535,18861.1099983952,19259.5872568465,20575.4979506353,21056.3471472209,21005.0121226588,21183.4648875212
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Tunisia,TUN,2227.4705559286,2263.60845162658,2387.67099684045,2389.50095362151,2418.18369668995,2432.31251126634,2566.12858735551,2668.81055344079,2762.55429456119,2897.98368536803,3004.61076548799,3091.10276793195,3107.02064431386,3228.46383413296,3403.10523429826,3492.16594433769,3641.54339643904,3847.40697424139,3968.35255561488,4044.62968852153,4140.1517698059,4014.91679328981,4127.40077670425,4196.75249428577,4265.14556905354
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,United Arab Emirates,ARE,67606.9169233671,64386.0911209448,62821.1576886423,60133.1929557377,60932.2776417447,61818.2337791355,62294.1289696621,64176.4841609177,61231.2297229213,59845.0370389604,62833.2510712003,60434.6739832762,58707.0071667036,59867.2899395864,60042.5973540766,56199.0292674233,53926.5970978142,48260.0109053853,43658.9447787703,37203.3979933391,35049.1483168035,35550.8312723962,36408.4975478578,38064.004422593,39034.3762747338
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,West Bank and Gaza,PSE,..,..,..,..,1899.94389990125,1946.0686392869,1883.46045660413,2065.13601150502,2301.58721688948,2429.29365756199,2165.39491124613,1914.23859053546,1632.90268113717,1814.7980215238,1951.98257717779,2108.20811614322,1974.86229080606,2051.91033778885,2114.80719512312,2232.49960536148,2344.36290065451,2557.57197190592,2637.79281900729,2616.99915989099,2536.10080508259
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Yemen, Rep.",YEM,972.582823577522,984.430076755727,1012.15140443137,1000.7158375534,1018.88648711481,1032.52089011398,1041.7035135761,1061.49078599616,1092.80109265068,1102.61307818631,1138.24714181681,1148.42761633894,1160.24323895414,1170.143593952,1182.89824967158,1214.70466569608,1219.00746147531,1225.47238603882,1235.8115887039,1249.03367793608,1309.23195973585,1112.35193187576,1108.89519303159,1132.09880614324,1101.1174435602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
